EmployeeID,BenefitID,UsageFrequency,LastUsedDate,Age,Gender,Department,Tenure,BenefitType,BenefitSubType,BenefitCost,SatisfactionScore,Comments,age_group,tenure_group,subcat_401k Basic Matching,subcat_401k Catch-Up Contributions,subcat_401k High Contribution,subcat_401k Investment Fees,subcat_401k Maximum Matching,subcat_401k Standard Matching,subcat_After-School Care,subcat_Basic Coverage,subcat_Conference Attendance,subcat_Dependent Coverage,subcat_Family Membership,subcat_Graduate Degree,subcat_HDHP Individual,subcat_HMO Family,subcat_Healthcare FSA,subcat_Individual Courses,subcat_Monthly Communications,subcat_Monthly Internet Allowance,subcat_On-Site Infant Care,subcat_PPO Family,subcat_PPO Individual,subcat_Premium Discount Tier 1,subcat_Professional Certification,subcat_Supplemental High Amount,subcat_Supplemental Standard,subcat_Tier 1 Partners,subcat_Tier 2 Partners,subcat_Tier 3 Partners,subcat_Transit Subsidy,subcat_Undergraduate Degree,employee_segment,top1,top2,top3,bot1,bot2,bot3,seg_rec1,seg_rec2,seg_rec3,rec1,rec2,rec3
356,16,1,2023-12-15,63,Male,Finance,40,Health Insurance,HDHP Individual,84.55,5,Excellent coverage and affordable.,Boomers,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,401k High Contribution,HMO Family,Tier 3 Partners
4249,12,0,2023-11-18,34,Female,IT,6,Tuition Reimbursement,Graduate Degree,824.53,4,Great for further studies.,Millennials,Mid (3-7 years),False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Monthly Communications,HMO Family,Dependent Coverage,Healthcare FSA,After-School Care,On-Site Infant Care,Healthcare FSA,After-School Care,On-Site Infant Care,401k Basic Matching,Monthly Communications,PPO Family
4798,5,8,2023-12-06,53,Female,HR,1,Technology Stipend,Monthly Internet Allowance,75.0,2,Not much flexibility offered.,Gen X,New (0-2 years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,4,Conference Attendance,401k High Contribution,PPO Family,401k Maximum Matching,401k Standard Matching,HDHP Individual,401k Maximum Matching,401k Standard Matching,HDHP Individual,Undergraduate Degree,401k Basic Matching,401k Catch-Up Contributions
1030,2,0,2023-09-11,60,Male,Finance,16,Health Insurance,PPO Individual,706.93,3,"Satisfactory, but could improve.",Boomers,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,401k High Contribution,HMO Family,Tier 3 Partners
3781,11,8,2024-03-04,28,Female,Sales,4,Health Insurance,PPO Family,928.75,1,"Terrible service, would not recommend.",Millennials,Mid (3-7 years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,HDHP Individual,On-Site Infant Care,Undergraduate Degree,401k High Contribution,401k Basic Matching,401k Standard Matching
3525,26,0,2023-09-30,27,Female,Marketing,5,Gym Membership,Family Membership,519.66,2,Not many locations available.,Millennials,Mid (3-7 years),False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,HDHP Individual,On-Site Infant Care,Undergraduate Degree,Monthly Internet Allowance,Dependent Coverage,Tier 2 Partners
4700,20,0,2023-12-06,59,Female,Sales,25,Tuition Reimbursement,Undergraduate Degree,489.96,2,Complicated reimbursement process.,Boomers,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,5,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,After-School Care,Dependent Coverage,On-Site Infant Care,Conference Attendance,HMO Family,HDHP Individual
1561,27,2,2024-02-08,38,Male,Marketing,7,Retirement Plan,401k Maximum Matching,913.01,1,Unhappy with this benefit.,Millennials,Mid (3-7 years),False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,HDHP Individual,On-Site Infant Care,Undergraduate Degree,Monthly Internet Allowance,Dependent Coverage,Tier 2 Partners
1597,10,2,2024-05-31,23,Female,Marketing,4,Childcare,On-Site Infant Care,915.48,4,Good quality care available.,Gen Z,Mid (3-7 years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,HDHP Individual,On-Site Infant Care,Undergraduate Degree,401k Basic Matching,Supplemental Standard,401k High Contribution
465,6,0,2023-10-14,23,Male,Marketing,1,Retirement Plan,401k Standard Matching,598.44,2,Returns are not as expected.,Gen Z,New (0-2 years),False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,HDHP Individual,On-Site Infant Care,Undergraduate Degree,Supplemental Standard,Healthcare FSA,Conference Attendance
2425,15,0,2023-08-08,29,Male,IT,5,Tuition Reimbursement,Professional Certification,359.21,5,Incredible support for education.,Millennials,Mid (3-7 years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,Monthly Communications,HMO Family,Dependent Coverage,Healthcare FSA,After-School Care,On-Site Infant Care,Healthcare FSA,After-School Care,On-Site Infant Care,401k Basic Matching,Monthly Communications,PPO Family
2161,2,2,2024-05-17,34,Male,IT,11,Health Insurance,PPO Individual,706.93,3,"Satisfactory, but could improve.",Millennials,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,3,401k Basic Matching,401k Investment Fees,401k High Contribution,401k Catch-Up Contributions,Professional Certification,PPO Family,401k Catch-Up Contributions,Professional Certification,PPO Family,After-School Care,Dependent Coverage,Premium Discount Tier 1
410,22,9,2024-07-09,55,Female,Finance,35,Health Insurance,HMO Family,624.0,3,"Satisfactory, but could improve.",Boomers,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,401k High Contribution,Tier 3 Partners,Monthly Internet Allowance
3971,10,5,2024-07-23,48,Female,IT,16,Childcare,On-Site Infant Care,915.48,2,Limited availability.,Gen X,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,5,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,After-School Care,Dependent Coverage,On-Site Infant Care,Undergraduate Degree,Conference Attendance,401k Standard Matching
2063,23,1,2024-05-27,49,Female,Finance,7,Life Insurance,Supplemental High Amount,969.28,1,Disappointing service.,Gen X,Mid (3-7 years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,4,Conference Attendance,401k High Contribution,PPO Family,401k Maximum Matching,401k Standard Matching,HDHP Individual,401k Maximum Matching,401k Standard Matching,HDHP Individual,Tier 3 Partners,401k High Contribution,Healthcare FSA
1340,1,1,2023-10-30,25,Male,HR,5,Retirement Plan,401k Basic Matching,876.21,4,Good plan with decent returns.,Millennials,Mid (3-7 years),True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,Monthly Communications,HMO Family,Dependent Coverage,Healthcare FSA,After-School Care,On-Site Infant Care,Healthcare FSA,After-School Care,On-Site Infant Care,Tier 3 Partners,HMO Family,Individual Courses
1576,30,0,2024-03-10,38,Male,Sales,15,Tuition Reimbursement,Individual Courses,723.73,3,Helps but limited in scope.,Millennials,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,401k Basic Matching,401k Investment Fees,401k High Contribution,401k Catch-Up Contributions,Professional Certification,PPO Family,401k Catch-Up Contributions,Professional Certification,PPO Family,401k High Contribution,Supplemental High Amount,401k Catch-Up Contributions
4753,30,1,2023-08-19,57,Female,Marketing,19,Tuition Reimbursement,Individual Courses,723.73,4,Great for further studies.,Boomers,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,After-School Care,Dependent Coverage,On-Site Infant Care,Basic Coverage,Supplemental Standard,PPO Individual
4080,16,1,2024-03-29,23,Male,Marketing,4,Health Insurance,HDHP Individual,84.55,3,"Satisfactory, but could improve.",Gen Z,Mid (3-7 years),False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,HDHP Individual,On-Site Infant Care,Undergraduate Degree,401k Basic Matching,401k High Contribution,Individual Courses
4953,5,0,2023-11-15,44,Male,Marketing,1,Technology Stipend,Monthly Internet Allowance,75.0,1,Inconvenient and inefficient.,Gen X,New (0-2 years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,5,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,After-School Care,Dependent Coverage,On-Site Infant Care,Healthcare FSA,401k Maximum Matching,401k Investment Fees
3022,19,5,2023-11-03,39,Male,Sales,3,Gym Membership,Tier 2 Partners,343.73,5,Fantastic benefit! I use it daily.,Millennials,Mid (3-7 years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,HDHP Individual,On-Site Infant Care,Undergraduate Degree,401k Maximum Matching,401k High Contribution,401k Basic Matching
4845,11,1,2024-02-23,51,Female,HR,33,Health Insurance,PPO Family,928.75,5,Excellent coverage and affordable.,Gen X,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,Tier 3 Partners,Individual Courses,Supplemental Standard
4516,11,0,2024-04-02,34,Male,Sales,7,Health Insurance,PPO Family,928.75,4,"Great coverage, but a bit expensive.",Millennials,Mid (3-7 years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,HDHP Individual,On-Site Infant Care,Undergraduate Degree,401k Maximum Matching,401k High Contribution,401k Basic Matching
1678,24,0,2024-06-20,40,Male,IT,2,Gym Membership,Tier 3 Partners,780.78,1,Membership is not very useful.,Gen X,New (0-2 years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4,Conference Attendance,401k High Contribution,PPO Family,401k Maximum Matching,401k Standard Matching,HDHP Individual,401k Maximum Matching,401k Standard Matching,HDHP Individual,Premium Discount Tier 1,PPO Family,Conference Attendance
358,9,4,2024-06-29,62,Female,Sales,20,Professional Development,Conference Attendance,850.0,3,"Good, but sometimes difficult.",Boomers,Senior (8+ years),False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,After-School Care,Dependent Coverage,On-Site Infant Care,HMO Family,HDHP Individual,401k High Contribution
2426,17,4,2024-04-02,35,Female,Sales,1,Retirement Plan,401k Catch-Up Contributions,509.65,4,Good plan with decent returns.,Millennials,New (0-2 years),False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,HDHP Individual,On-Site Infant Care,Undergraduate Degree,After-School Care,Tier 1 Partners,Basic Coverage
2330,6,4,2024-04-15,58,Male,Sales,1,Retirement Plan,401k Standard Matching,598.44,3,"Standard, nothing exceptional.",Boomers,New (0-2 years),False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,After-School Care,Dependent Coverage,On-Site Infant Care,Undergraduate Degree,401k Investment Fees,Transit Subsidy
4358,7,6,2023-11-11,53,Female,Sales,16,Flexible Spending Account,Healthcare FSA,450.0,3,Average amount of vacation days.,Gen X,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,After-School Care,Dependent Coverage,On-Site Infant Care,Undergraduate Degree,Individual Courses,HMO Family
1378,23,0,2023-12-01,55,Male,Finance,9,Life Insurance,Supplemental High Amount,969.28,5,Great peace of mind for my family.,Boomers,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,HMO Family,Tier 3 Partners,Monthly Internet Allowance
4457,13,0,2023-08-29,55,Male,Sales,16,Cell Phone Allowance,Monthly Communications,65.0,3,"Good, but sometimes difficult.",Boomers,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,5,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,After-School Care,Dependent Coverage,On-Site Infant Care,Conference Attendance,HMO Family,HDHP Individual
2214,8,8,2024-03-14,33,Male,Marketing,5,Wellness Programs,Premium Discount Tier 1,125.0,4,Sufficient time off provided.,Millennials,Mid (3-7 years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1,401k High Contribution,Supplemental High Amount,Premium Discount Tier 1,HDHP Individual,On-Site Infant Care,Undergraduate Degree,HDHP Individual,On-Site Infant Care,Undergraduate Degree,Monthly Internet Allowance,Dependent Coverage,Tier 2 Partners
3747,25,2,2024-03-24,41,Female,IT,2,Life Insurance,Supplemental Standard,774.91,1,Disappointing service.,Gen X,New (0-2 years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,4,Conference Attendance,401k High Contribution,PPO Family,401k Maximum Matching,401k Standard Matching,HDHP Individual,401k Maximum Matching,401k Standard Matching,HDHP Individual,Premium Discount Tier 1,PPO Family,Conference Attendance
1670,7,7,2024-07-18,62,Male,Finance,2,Flexible Spending Account,Healthcare FSA,450.0,4,Sufficient time off provided.,Boomers,New (0-2 years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,Healthcare FSA,401k High Contribution,Supplemental High Amount,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,On-Site Infant Care,Premium Discount Tier 1,PPO Individual,HMO Family,401k Maximum Matching,Dependent Coverage
859,8,2,2024-03-20,32,Female,IT,7,Wellness Programs,Premium Discount Tier 1,125.0,1,Barely any time off given.,Millennials,Mid (3-7 years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,Monthly Communications,HMO Family,Dependent Coverage,Healthcare FSA,After-School Care,On-Site Infant Care,Healthcare FSA,After-School Care,On-Site Infant Care,401k Basic Matching,Monthly Communications,PPO Family
2497,25,0,2024-03-22,59,Female,Marketing,7,Life Insurance,Supplemental Standard,774.91,3,"Average, but necessary.",Boomers,Mid (3-7 years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,4,Conference Attendance,401k High Contribution,PPO Family,401k Maximum Matching,401k Standard Matching,HDHP Individual,401k Maximum Matching,401k Standard Matching,HDHP Individual,Monthly Communications,401k High Contribution,Healthcare FSA
610,7,0,2024-06-29,62,Female,Marketing,40,Flexible Spending Account,Healthcare FSA,450.0,4,Sufficient time off provided.,Boomers,Senior (8+ years),False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,Supplemental Standard,HMO Family,401k Maximum Matching,After-School Care,Dependent Coverage,On-Site Infant Care,After-School Care,Dependent Coverage,On-Site Infant Care,Basic Coverage,Supplemental Standard,PPO Individual
