BenefitType,BenefitSubType,CurrentBudget,CurrentUtilization,CurrentSatisfaction,AdjustedBudget,AdjustedShare,PredictedUtilization,PredictedSatisfaction,CostPerEmployee,PredictedROI,Change
Retirement Plan,401k Basic Matching,208537.98,3.76890756302521,2.8823529411764706,899078.689562276,0.22500020028327275,3.54141354392456,2.9098048773639142,672.9630909897276,0.015312611554548996,0.027451936187443682
Retirement Plan,401k Catch-Up Contributions,127922.15,3.147410358565737,2.7888446215139444,899078.689562276,0.22500020028327275,3.54141354392456,2.9098048773639142,672.9630909897276,0.015312611554548996,0.12096025584996983
Retirement Plan,401k High Contribution,69543.04,3.8834586466165413,2.9285714285714284,899078.689562276,0.22500020028327275,3.54141354392456,2.9098048773639142,672.9630909897276,0.015312611554548996,-0.018766551207514137
Retirement Plan,401k Investment Fees,182780.46,3.5772357723577235,3.089430894308943,899078.689562276,0.22500020028327275,3.54141354392456,2.9098048773639142,672.9630909897276,0.015312611554548996,-0.17962601694502878
Retirement Plan,401k Maximum Matching,212731.33,3.6266094420600856,2.9742489270386265,899078.689562276,0.22500020028327275,3.54141354392456,2.9098048773639142,672.9630909897276,0.015312611554548996,-0.06444404967471229
Retirement Plan,401k Standard Matching,168760.08000000002,3.0531914893617023,3.00709219858156,899078.689562276,0.22500020028327275,3.54141354392456,2.9098048773639142,672.9630909897276,0.015312611554548996,-0.09728732121764594
Technology Stipend,Monthly Internet Allowance,19125.0,3.4784313725490197,3.023529411764706,17721.655436873374,0.004434957772816244,3.5070713714607833,3.058956769243828,69.49668798773872,0.15436677664184417,0.03542735747912218
Tuition Reimbursement,Graduate Degree,225096.69,3.21978021978022,3.1135531135531136,914430.7071626064,0.22884214101096187,3.271501094122209,2.997093510623035,901.8054311268307,0.010872627687480457,-0.11645960293007862
Tuition Reimbursement,Individual Courses,192512.18,3.3909774436090228,2.819548872180451,914430.7071626064,0.22884214101096187,3.271501094122209,2.997093510623035,901.8054311268307,0.010872627687480457,0.17754463844258384
Tuition Reimbursement,Professional Certification,86928.81999999999,3.0082644628099175,3.12396694214876,914430.7071626064,0.22884214101096187,3.271501094122209,2.997093510623035,901.8054311268307,0.010872627687480457,-0.12687343152572517
Tuition Reimbursement,Undergraduate Degree,153357.47999999998,3.2715654952076676,2.9584664536741214,914430.7071626064,0.22884214101096187,3.271501094122209,2.997093510623035,901.8054311268307,0.010872627687480457,0.03862705694891355
Wellness Programs,Premium Discount Tier 1,32750.0,3.236641221374046,3.1068702290076335,28829.542733580274,0.0072147777101566205,3.1842874080965684,3.0854606297858207,110.03642264725295,0.08928855732706771,-0.021409599221812847
