EmployeeID,BenefitID,UsageFrequency,LastUsedDate,Age,Gender,Department,Tenure,BenefitType,BenefitSubType,BenefitCost,SatisfactionScore,Comments,age_group,tenure_group,subcat_401k Basic Matching,subcat_401k Catch-Up Contributions,subcat_401k High Contribution,subcat_401k Investment Fees,subcat_401k Maximum Matching,subcat_401k Standard Matching,subcat_After-School Care,subcat_Basic Coverage,subcat_Conference Attendance,subcat_Dependent Coverage,subcat_Family Membership,subcat_Graduate Degree,subcat_HDHP Individual,subcat_HMO Family,subcat_Healthcare FSA,subcat_Individual Courses,subcat_Monthly Communications,subcat_Monthly Internet Allowance,subcat_On-Site Infant Care,subcat_PPO Family,subcat_PPO Individual,subcat_Premium Discount Tier 1,subcat_Professional Certification,subcat_Supplemental High Amount,subcat_Supplemental Standard,subcat_Tier 1 Partners,subcat_Tier 2 Partners,subcat_Tier 3 Partners,subcat_Transit Subsidy,subcat_Undergraduate Degree
2193,3,0,2024-02-09,50,Female,Marketing,5,Commuter Benefits,Transit Subsidy,325.0,5,"Generous vacation days, very happy.",Gen X,<5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
749,19,5,2023-08-23,35,Female,HR,3,Gym Membership,Tier 2 Partners,343.73,1,Membership is not very useful.,Millennial,<5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1297,22,0,2023-08-23,57,Female,IT,10,Health Insurance,HMO Family,624.0,5,Excellent coverage and affordable.,Gen X,5-15,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4932,25,0,2023-11-01,30,Male,IT,9,Life Insurance,Supplemental Standard,774.91,5,Great peace of mind for my family.,Millennial,5-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
4737,21,1,2023-12-09,27,Female,IT,9,Life Insurance,Basic Coverage,163.92,2,Coverage is minimal.,Millennial,5-15,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3737,26,9,2023-10-31,22,Female,Finance,2,Gym Membership,Family Membership,519.66,4,"Good value, I enjoy the variety.",Gen Z,<5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2336,8,4,2024-07-11,40,Female,Finance,5,Wellness Programs,Premium Discount Tier 1,125.0,5,"Generous vacation days, very happy.",Millennial,<5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
356,16,1,2023-12-15,63,Male,Finance,40,Health Insurance,HDHP Individual,84.55,5,Excellent coverage and affordable.,Boomer,>15,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4249,12,0,2023-11-18,34,Female,IT,6,Tuition Reimbursement,Graduate Degree,824.53,4,Great for further studies.,Millennial,5-15,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4798,5,8,2023-12-06,53,Female,HR,1,Technology Stipend,Monthly Internet Allowance,75.0,2,Not much flexibility offered.,Gen X,<5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1030,2,0,2023-09-11,60,Male,Finance,16,Health Insurance,PPO Individual,706.93,3,"Satisfactory, but could improve.",Boomer,>15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
3781,11,8,2024-03-04,28,Female,Sales,4,Health Insurance,PPO Family,928.75,1,"Terrible service, would not recommend.",Millennial,<5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
3525,26,0,2023-09-30,27,Female,Marketing,5,Gym Membership,Family Membership,519.66,2,Not many locations available.,Millennial,<5,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4700,20,0,2023-12-06,59,Female,Sales,25,Tuition Reimbursement,Undergraduate Degree,489.96,2,Complicated reimbursement process.,Boomer,>15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1561,27,2,2024-02-08,38,Male,Marketing,7,Retirement Plan,401k Maximum Matching,913.01,1,Unhappy with this benefit.,Millennial,5-15,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1597,10,2,2024-05-31,23,Female,Marketing,4,Childcare,On-Site Infant Care,915.48,4,Good quality care available.,Gen Z,<5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
465,6,0,2023-10-14,23,Male,Marketing,1,Retirement Plan,401k Standard Matching,598.44,2,Returns are not as expected.,Gen Z,<5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2425,15,0,2023-08-08,29,Male,IT,5,Tuition Reimbursement,Professional Certification,359.21,5,Incredible support for education.,Millennial,<5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2161,2,2,2024-05-17,34,Male,IT,11,Health Insurance,PPO Individual,706.93,3,"Satisfactory, but could improve.",Millennial,5-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
410,22,9,2024-07-09,55,Female,Finance,35,Health Insurance,HMO Family,624.0,3,"Satisfactory, but could improve.",Gen X,>15,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3971,10,5,2024-07-23,48,Female,IT,16,Childcare,On-Site Infant Care,915.48,2,Limited availability.,Gen X,>15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2063,23,1,2024-05-27,49,Female,Finance,7,Life Insurance,Supplemental High Amount,969.28,1,Disappointing service.,Gen X,5-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1340,1,1,2023-10-30,25,Male,HR,5,Retirement Plan,401k Basic Matching,876.21,4,Good plan with decent returns.,Gen Z,<5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1576,30,0,2024-03-10,38,Male,Sales,15,Tuition Reimbursement,Individual Courses,723.73,3,Helps but limited in scope.,Millennial,5-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4753,30,1,2023-08-19,57,Female,Marketing,19,Tuition Reimbursement,Individual Courses,723.73,4,Great for further studies.,Gen X,>15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4080,16,1,2024-03-29,23,Male,Marketing,4,Health Insurance,HDHP Individual,84.55,3,"Satisfactory, but could improve.",Gen Z,<5,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4953,5,0,2023-11-15,44,Male,Marketing,1,Technology Stipend,Monthly Internet Allowance,75.0,1,Inconvenient and inefficient.,Gen X,<5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
3022,19,5,2023-11-03,39,Male,Sales,3,Gym Membership,Tier 2 Partners,343.73,5,Fantastic benefit! I use it daily.,Millennial,<5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
4845,11,1,2024-02-23,51,Female,HR,33,Health Insurance,PPO Family,928.75,5,Excellent coverage and affordable.,Gen X,>15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
4516,11,0,2024-04-02,34,Male,Sales,7,Health Insurance,PPO Family,928.75,4,"Great coverage, but a bit expensive.",Millennial,5-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1678,24,0,2024-06-20,40,Male,IT,2,Gym Membership,Tier 3 Partners,780.78,1,Membership is not very useful.,Millennial,<5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
358,9,4,2024-06-29,62,Female,Sales,20,Professional Development,Conference Attendance,850.0,3,"Good, but sometimes difficult.",Boomer,>15,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2426,17,4,2024-04-02,35,Female,Sales,1,Retirement Plan,401k Catch-Up Contributions,509.65,4,Good plan with decent returns.,Millennial,<5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2330,6,4,2024-04-15,58,Male,Sales,1,Retirement Plan,401k Standard Matching,598.44,3,"Standard, nothing exceptional.",Boomer,<5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4358,7,6,2023-11-11,53,Female,Sales,16,Flexible Spending Account,Healthcare FSA,450.0,3,Average amount of vacation days.,Gen X,>15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1378,23,0,2023-12-01,55,Male,Finance,9,Life Insurance,Supplemental High Amount,969.28,5,Great peace of mind for my family.,Gen X,5-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4457,13,0,2023-08-29,55,Male,Sales,16,Cell Phone Allowance,Monthly Communications,65.0,3,"Good, but sometimes difficult.",Gen X,>15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2214,8,8,2024-03-14,33,Male,Marketing,5,Wellness Programs,Premium Discount Tier 1,125.0,4,Sufficient time off provided.,Millennial,<5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
3747,25,2,2024-03-24,41,Female,IT,2,Life Insurance,Supplemental Standard,774.91,1,Disappointing service.,Millennial,<5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1670,7,7,2024-07-18,62,Male,Finance,2,Flexible Spending Account,Healthcare FSA,450.0,4,Sufficient time off provided.,Boomer,<5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
859,8,2,2024-03-20,32,Female,IT,7,Wellness Programs,Premium Discount Tier 1,125.0,1,Barely any time off given.,Millennial,5-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2497,25,0,2024-03-22,59,Female,Marketing,7,Life Insurance,Supplemental Standard,774.91,3,"Average, but necessary.",Boomer,5-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
610,7,0,2024-06-29,62,Female,Marketing,40,Flexible Spending Account,Healthcare FSA,450.0,4,Sufficient time off provided.,Boomer,>15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4163,24,10,2024-01-07,63,Female,Finance,38,Gym Membership,Tier 3 Partners,780.78,2,Not many locations available.,Boomer,>15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
3033,27,4,2023-10-08,50,Female,HR,15,Retirement Plan,401k Maximum Matching,913.01,5,Top-notch retirement plan.,Gen X,5-15,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4410,17,0,2024-05-03,34,Female,HR,10,Retirement Plan,401k Catch-Up Contributions,509.65,1,Unhappy with this benefit.,Millennial,5-15,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3357,4,2,2023-09-11,31,Female,Marketing,3,Retirement Plan,401k High Contribution,261.44,5,Top-notch retirement plan.,Millennial,<5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4122,23,0,2024-02-04,34,Female,Finance,13,Life Insurance,Supplemental High Amount,969.28,5,Great peace of mind for my family.,Millennial,5-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4369,21,0,2023-10-27,39,Male,Marketing,8,Life Insurance,Basic Coverage,163.92,1,Disappointing service.,Millennial,5-15,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2449,12,4,2024-07-21,40,Male,Marketing,10,Tuition Reimbursement,Graduate Degree,824.53,4,Great for further studies.,Millennial,5-15,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1235,23,2,2023-10-23,48,Male,HR,6,Life Insurance,Supplemental High Amount,969.28,1,Disappointing service.,Gen X,5-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4709,27,0,2023-09-11,50,Female,Marketing,19,Retirement Plan,401k Maximum Matching,913.01,5,Top-notch retirement plan.,Gen X,>15,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4877,15,1,2023-10-27,37,Female,Marketing,16,Tuition Reimbursement,Professional Certification,359.21,1,Not worth the hassle.,Millennial,>15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
617,17,0,2024-04-01,47,Male,Sales,3,Retirement Plan,401k Catch-Up Contributions,509.65,1,Unhappy with this benefit.,Gen X,<5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1815,1,3,2023-08-17,37,Male,HR,13,Retirement Plan,401k Basic Matching,876.21,2,Returns are not as expected.,Millennial,5-15,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3198,25,5,2024-08-03,50,Male,Marketing,10,Life Insurance,Supplemental Standard,774.91,3,"Average, but necessary.",Gen X,5-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
4887,12,4,2023-08-10,58,Male,IT,10,Tuition Reimbursement,Graduate Degree,824.53,1,Not worth the hassle.,Boomer,5-15,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2411,14,2,2023-11-28,62,Male,IT,6,Gym Membership,Tier 1 Partners,73.36,1,Membership is not very useful.,Boomer,5-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
425,17,5,2023-11-28,53,Female,Sales,24,Retirement Plan,401k Catch-Up Contributions,509.65,3,"Standard, nothing exceptional.",Gen X,>15,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3284,27,9,2023-10-03,54,Female,IT,31,Retirement Plan,401k Maximum Matching,913.01,3,"Standard, nothing exceptional.",Gen X,>15,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1351,10,9,2023-08-23,27,Female,IT,2,Childcare,On-Site Infant Care,915.48,3,Helps a bit with childcare costs.,Millennial,<5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1482,4,4,2024-04-13,51,Male,Finance,9,Retirement Plan,401k High Contribution,261.44,1,Unhappy with this benefit.,Gen X,5-15,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
557,30,5,2024-04-16,51,Female,IT,20,Tuition Reimbursement,Individual Courses,723.73,5,Incredible support for education.,Gen X,>15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3870,8,9,2024-06-25,25,Female,IT,1,Wellness Programs,Premium Discount Tier 1,125.0,3,Average amount of vacation days.,Gen Z,<5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2218,18,4,2024-03-09,25,Female,Sales,7,Retirement Plan,401k Investment Fees,743.01,1,Unhappy with this benefit.,Gen Z,5-15,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
689,15,0,2024-06-02,45,Male,HR,11,Tuition Reimbursement,Professional Certification,359.21,3,Helps but limited in scope.,Gen X,5-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
4333,24,5,2024-03-30,27,Male,Finance,8,Gym Membership,Tier 3 Partners,780.78,3,"It's okay, I use it occasionally.",Millennial,5-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
4001,17,3,2024-03-08,47,Male,HR,7,Retirement Plan,401k Catch-Up Contributions,509.65,4,Good plan with decent returns.,Gen X,5-15,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4270,30,4,2024-06-29,37,Female,Finance,16,Tuition Reimbursement,Individual Courses,723.73,5,Incredible support for education.,Millennial,>15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4203,16,3,2024-03-07,37,Male,Marketing,17,Health Insurance,HDHP Individual,84.55,1,"Terrible service, would not recommend.",Millennial,>15,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4068,3,5,2023-08-28,43,Female,IT,11,Commuter Benefits,Transit Subsidy,325.0,1,Barely any time off given.,Gen X,5-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1332,19,6,2023-12-21,43,Female,Sales,12,Gym Membership,Tier 2 Partners,343.73,2,Not many locations available.,Gen X,5-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
303,4,0,2023-08-20,54,Female,HR,15,Retirement Plan,401k High Contribution,261.44,4,Good plan with decent returns.,Gen X,5-15,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1917,27,9,2023-11-25,52,Male,HR,20,Retirement Plan,401k Maximum Matching,913.01,1,Unhappy with this benefit.,Gen X,>15,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2689,25,4,2024-07-24,33,Male,Marketing,13,Life Insurance,Supplemental Standard,774.91,3,"Average, but necessary.",Millennial,5-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2452,30,10,2023-12-03,37,Male,Marketing,14,Tuition Reimbursement,Individual Courses,723.73,3,Helps but limited in scope.,Millennial,5-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3559,28,3,2024-01-18,40,Male,IT,17,Life Insurance,Dependent Coverage,165.54,3,"Average, but necessary.",Millennial,>15,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
385,12,1,2024-02-11,32,Male,Sales,12,Tuition Reimbursement,Graduate Degree,824.53,3,Helps but limited in scope.,Millennial,5-15,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4590,28,2,2024-04-14,61,Female,HR,29,Life Insurance,Dependent Coverage,165.54,1,Disappointing service.,Boomer,>15,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
170,25,5,2024-02-20,27,Female,IT,5,Life Insurance,Supplemental Standard,774.91,2,Coverage is minimal.,Millennial,<5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
3233,1,5,2023-09-12,55,Female,HR,31,Retirement Plan,401k Basic Matching,876.21,4,Good plan with decent returns.,Gen X,>15,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3886,10,0,2024-02-23,56,Male,Marketing,18,Childcare,On-Site Infant Care,915.48,5,Very convenient and cost-effective.,Gen X,>15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
4176,24,4,2024-01-19,27,Male,Marketing,6,Gym Membership,Tier 3 Partners,780.78,3,"It's okay, I use it occasionally.",Millennial,5-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
59,21,1,2024-04-22,22,Female,Finance,1,Life Insurance,Basic Coverage,163.92,1,Disappointing service.,Gen Z,<5,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017,13,10,2024-03-11,29,Male,IT,6,Cell Phone Allowance,Monthly Communications,65.0,1,Inconvenient and inefficient.,Millennial,5-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3983,6,2,2023-08-25,27,Female,Finance,1,Retirement Plan,401k Standard Matching,598.44,5,Top-notch retirement plan.,Millennial,<5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3377,3,0,2023-12-27,36,Male,Marketing,9,Commuter Benefits,Transit Subsidy,325.0,3,Average amount of vacation days.,Millennial,5-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3428,16,2,2024-01-15,43,Female,IT,14,Health Insurance,HDHP Individual,84.55,3,"Satisfactory, but could improve.",Gen X,5-15,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,19,0,2024-04-19,22,Female,Sales,1,Gym Membership,Tier 2 Partners,343.73,1,Membership is not very useful.,Gen Z,<5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2280,20,3,2024-08-03,32,Male,Marketing,14,Tuition Reimbursement,Undergraduate Degree,489.96,3,Helps but limited in scope.,Millennial,5-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1943,27,7,2024-06-16,49,Female,Marketing,14,Retirement Plan,401k Maximum Matching,913.01,1,Unhappy with this benefit.,Gen X,5-15,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3144,27,7,2023-12-13,28,Female,IT,8,Retirement Plan,401k Maximum Matching,913.01,1,Unhappy with this benefit.,Millennial,5-15,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
